expert_id,case_id,side,expert_name,discipline,primary_issue,report_filename,deposition_taken,daubert_motion_filed,daubert_outcome,trial_testimony_given,jury_reliance_indicator
EXP-C2020-PL-DAM-1,C-2020-0312,us,Dr. Hannah Liu,damages,lost_profits,expert_reports/C-2020-0312_PX_Damages_Expert_Liu.pdf,true,true,granted_in_part,true,limited_plaintiff_damages
EXP-C2020-DF-TECH-1,C-2020-0312,them,Dr. Alan Ortiz,forensics,misappropriation,expert_reports/C-2020-0312_DX_Forensics_Ortiz.pdf,true,true,denied,true,relied_on_defense_technical
EXP-C2019-PL-DAM-1,C-2019-1187,us,Prof. Elena Markovic,damages,unjust_enrichment,expert_reports/C-2019-1187_PX_Damages_Expert_Markovic.pdf,true,true,granted,false,excluded_plaintiff_expert
EXP-C2019-DF-IND-1,C-2019-1187,them,James Patel,industry_practices,misappropriation,expert_reports/C-2019-1187_DX_Industry_Expert_Patel.pdf,true,false,none,true,relied_on_defense_industry
EXP-C2021-DF-DAM-1,C-2021-0904,us,Dr. Sofia Bennett,damages,lost_profits,expert_reports/C-2021-0904_DX_Damages_Expert_Bennett.pdf,true,true,denied,true,relied_on_defense_damages
EXP-C2021-PL-TECH-1,C-2021-0904,them,Dr. Marcus Hale,forensics,misappropriation,expert_reports/C-2021-0904_PX_Forensics_Expert_Hale.pdf,true,true,denied,true,mixed_weight
EXP-C2018-PL-ALGO-1,C-2018-0220,us,Dr. Karen Soto,damages,valuation,expert_reports/C-2018-0220_PX_Valuation_Expert_Soto.pdf,true,true,denied,false,limited_plaintiff_damages
EXP-C2018-DF-ADTECH-1,C-2018-0220,them,Dr. Neil Fraser,industry_practices,misappropriation,expert_reports/C-2018-0220_DX_Industry_Expert_Fraser.pdf,true,false,none,false,relied_on_defense_industry
EXP-C2019-LOG-PL-1,C-2019-2044,us,Dr. Victor Han,damages,lost_profits,expert_reports/C-2019-2044_PX_Damages_Expert_Han.pdf,true,true,denied,true,relied_on_plaintiff_damages
EXP-C2019-LOG-DF-1,C-2019-2044,them,Laura Beck,statistics,causation,expert_reports/C-2019-2044_DX_Stats_Expert_Beck.pdf,true,true,denied,true,limited_defense_causation
EXP-C2020-STREAM-DF-1,C-2020-1450,us,Dr. Omar Singh,damages,apportionment,expert_reports/C-2020-1450_DX_Damages_Expert_Singh.pdf,true,true,granted_in_part,true,limited_defense_damages
EXP-C2020-STREAM-PL-1,C-2020-1450,them,Prof. Alyssa Grant,damages,unjust_enrichment,expert_reports/C-2020-1450_PX_Damages_Expert_Grant.pdf,true,false,none,true,relied_on_plaintiff_damages
EXP-C2022-PL-DAM-1,C-2022-0678,us,Dr. Naomi Keller,damages,lost_profits,expert_reports/C-2022-0678_PX_Damages_Expert_Keller.pdf,true,true,granted_in_part,false,excluded_plaintiff_expert
EXP-C2019-LOG-CAUSE-1,C-2019-2044,them,Dr. Irene Costa,statistics,causation,expert_reports/C-2019-2044_DX_Stats_Expert_Costa.pdf,true,true,denied,true,limited_defense_causation
EXP-C2020-STREAM-TECH-1,C-2020-1450,us,Dr. Felix Romero,forensics,misappropriation,expert_reports/C-2020-1450_DX_Forensics_Expert_Romero.pdf,true,true,denied,true,relied_on_defense_technical
EXP-C2019-ONBOARD-PL-1,C-2019-0113,us,Dr. Lila Chen,damages,lost_profits,expert_reports/C-2019-0113_PX_Damages_Expert_Chen.pdf,true,true,denied,true,relied_on_plaintiff_damages
EXP-C2019-ONBOARD-DF-1,C-2019-0113,them,Mark Hastings,industry_practices,misappropriation,expert_reports/C-2019-0113_DX_Industry_Expert_Hastings.pdf,true,false,none,true,mixed_weight
EXP-C2019-AD-PL-1,C-2019-0666,us,Prof. Rajiv Malhotra,damages,unjust_enrichment,expert_reports/C-2019-0666_PX_Damages_Expert_Malhotra.pdf,true,true,granted,false,excluded_plaintiff_expert
EXP-C2020-HF-PL-1,C-2020-0599,us,Dr. Emily Kovacs,damages,lost_profits,expert_reports/C-2020-0599_PX_Damages_Expert_Kovacs.pdf,true,true,granted_in_part,false,limited_plaintiff_damages
EXP-C2020-HF-DF-1,C-2020-0599,them,Dr. Andre Silva,forensics,misappropriation,expert_reports/C-2020-0599_DX_Forensics_Expert_Silva.pdf,true,false,none,true,relied_on_defense_technical
EXP-C2021-DEV-PL-DAM-1,C-2021-0055,us,Prof. Hannah Ortiz,damages,productivity,expert_reports/C-2021-0055_PX_Damages_Expert_Ortiz.pdf,true,true,granted_in_part,false,limited_plaintiff_damages
EXP-C2022-CARE-PL-1,C-2022-0407,us,Dr. Aisha Rahman,statistics,misappropriation,expert_reports/C-2022-0407_PX_Stats_Expert_Rahman.pdf,true,true,denied,true,mixed_weight
EXP-C2023-YIELD-PL-1,C-2023-0310,us,Dr. Matteo Ricci,damages,lost_profits,expert_reports/C-2023-0310_PX_Damages_Expert_Ricci.pdf,true,true,granted_in_part,false,excluded_plaintiff_expert
EXP-C2023-YIELD-DF-1,C-2023-0310,them,Dr. Sunhee Park,industry_practices,misappropriation,expert_reports/C-2023-0310_DX_Industry_Expert_Park.pdf,true,false,none,true,relied_on_defense_industry
EXP-G1000,C-2017-0541,us,Prof. David Foster,statistics,causation,expert_reports/C-2017-0541_PX_Statistics_Foster.pdf,true,true,granted,true,mixed_weight
EXP-G1001,C-2017-0541,them,Dr. Sarah Brooks,forensics,valuation,expert_reports/C-2017-0541_DX_Forensics_Brooks.pdf,false,true,none,true,relied_on_defense_damages
EXP-G1002,C-2022-0678,us,Dr. James Hayes,forensics,lost_profits,expert_reports/C-2022-0678_PX_Forensics_Hayes.pdf,true,false,none,false,
EXP-G1003,C-2023-0129,them,Prof. Maria Rivera,forensics,causation,expert_reports/C-2023-0129_DX_Forensics_Rivera.pdf,true,false,none,true,mixed_weight
EXP-G1004,C-2023-0129,us,Dr. Robert Ward,damages,lost_profits,expert_reports/C-2023-0129_PX_Damages_Ward.pdf,false,true,none,false,
EXP-G1005,C-2016-0001,them,Dr. Jennifer Peterson,statistics,causation,expert_reports/C-2016-0001_DX_Statistics_Peterson.pdf,true,true,denied,false,
EXP-G1006,C-2016-0001,us,Prof. Thomas Gray,damages,misappropriation,expert_reports/C-2016-0001_PX_Damages_Gray.pdf,true,false,none,false,
EXP-G1007,C-2016-0034,them,Dr. Linda Ramirez,forensics,valuation,expert_reports/C-2016-0034_DX_Forensics_Ramirez.pdf,true,false,none,true,relied_on_plaintiff_damages
EXP-G1008,C-2016-0034,us,Dr. Daniel James,damages,misappropriation,expert_reports/C-2016-0034_PX_Damages_James.pdf,true,true,granted,false,
EXP-G1009,C-2016-0450,them,Prof. Patricia Watson,damages,valuation,expert_reports/C-2016-0450_DX_Damages_Watson.pdf,true,false,none,false,
EXP-G1010,C-2016-0450,us,Dr. Paul Reed,forensics,unjust_enrichment,expert_reports/C-2016-0450_PX_Forensics_Reed.pdf,true,true,granted_in_part,true,relied_on_defense_technical
EXP-G1011,C-2017-0102,them,Dr. Nancy Cook,damages,apportionment,expert_reports/C-2017-0102_DX_Damages_Cook.pdf,true,false,none,true,relied_on_defense_damages
EXP-G1012,C-2017-0102,us,Prof. Mark Morgan,forensics,causation,expert_reports/C-2017-0102_PX_Forensics_Morgan.pdf,true,true,granted_in_part,false,
EXP-G1013,C-2017-0209,them,Dr. Betty Bell,forensics,apportionment,expert_reports/C-2017-0209_DX_Forensics_Bell.pdf,true,false,none,true,relied_on_plaintiff_damages
EXP-G1014,C-2017-0209,us,Dr. Steven Murphy,damages,causation,expert_reports/C-2017-0209_PX_Damages_Murphy.pdf,true,false,none,false,
EXP-G1015,C-2017-0788,them,Prof. Margaret Bailey,damages,valuation,expert_reports/C-2017-0788_DX_Damages_Bailey.pdf,true,true,granted,false,
EXP-G1016,C-2017-0788,us,Dr. Andrew Cooper,damages,unjust_enrichment,expert_reports/C-2017-0788_PX_Damages_Cooper.pdf,true,true,granted,false,
EXP-G1017,C-2018-0055,them,Dr. Sandra Richardson,damages,lost_profits,expert_reports/C-2018-0055_DX_Damages_Richardson.pdf,true,true,denied,false,
EXP-G1018,C-2018-0055,us,Prof. Joshua Cox,damages,valuation,expert_reports/C-2018-0055_PX_Damages_Cox.pdf,true,true,granted_in_part,false,
EXP-G1019,C-2018-0199,them,Dr. Dorothy Howard,industry_practices,causation,expert_reports/C-2018-0199_DX_Industry_practices_Howard.pdf,true,true,none,false,
EXP-G1020,C-2018-0199,us,Dr. Kevin Torres,forensics,causation,expert_reports/C-2018-0199_PX_Forensics_Torres.pdf,true,false,none,true,relied_on_defense_damages
EXP-G1021,C-2018-0301,them,Prof. Lisa Powell,damages,causation,expert_reports/C-2018-0301_DX_Damages_Powell.pdf,false,false,none,false,
EXP-G1022,C-2018-0301,us,Dr. Brian Long,damages,misappropriation,expert_reports/C-2018-0301_PX_Damages_Long.pdf,true,true,granted_in_part,false,
EXP-G1023,C-2018-0670,them,Dr. Karen Patterson,industry_practices,unjust_enrichment,expert_reports/C-2018-0670_DX_Industry_practices_Patterson.pdf,true,false,none,false,
EXP-G1024,C-2018-0670,us,Prof. George Hughes,statistics,valuation,expert_reports/C-2018-0670_PX_Statistics_Hughes.pdf,false,true,granted_in_part,false,
EXP-G1025,C-2019-0307,them,Dr. Helen Flores,damages,unjust_enrichment,expert_reports/C-2019-0307_DX_Damages_Flores.pdf,true,false,none,false,
EXP-G1026,C-2019-0307,us,Dr. Edward Washington,forensics,causation,expert_reports/C-2019-0307_PX_Forensics_Washington.pdf,true,true,none,true,relied_on_defense_technical
EXP-G1027,C-2019-0666,them,Prof. Carol Butler,damages,causation,expert_reports/C-2019-0666_DX_Damages_Butler.pdf,true,false,none,true,
EXP-G1028,C-2019-0901,us,Dr. Ronald Simmons,forensics,unjust_enrichment,expert_reports/C-2019-0901_PX_Forensics_Simmons.pdf,true,true,granted,false,
EXP-G1029,C-2019-0901,them,Dr. Michelle Foster,damages,apportionment,expert_reports/C-2019-0901_DX_Damages_Foster.pdf,true,true,none,false,
